name,OFV
mj5-200nc1,4677764
mj5-200nc2,4677637
mj5-200nc3,4665237
mj5-200nc4,4179025
mj5-200nc5,5078635
mj10-200nc1,2011504
mj10-200nc2,1784934
mj10-200nc3,1832518
mj10-200nc4,1892531
mj10-200nc5,1881069
mj20-200nc1,780911
mj20-200nc2,859935
mj20-200nc3,798847
mj20-200nc4,836064
mj20-200nc5,805672
mj50-200nc1,352830
mj50-200nc2,343554
mj50-200nc3,313688
mj50-200nc4,327094
mj50-200nc5,347465
mj5-250nc1,6634812
mj5-250nc2,6603440
mj5-250nc3,7087432
mj5-250nc4,6470391
mj5-250nc5,6819958
mj10-250nc1,2763183
mj10-250nc2,2589880
mj10-250nc3,2334005
mj10-250nc4,2657378
mj10-250nc5,2788363
mj20-250nc1,780911
mj20-250nc2,859935
mj20-250nc3,798847
mj20-250nc4,836064
mj20-250nc5,805672
mj50-250nc1,352830
mj50-250nc2,343554
mj50-250nc3,313688
mj50-250nc4,327094
mj50-250nc5,347465
mj5-300nc1,6634812
mj5-300nc2,6603440
mj5-300nc3,7087432
mj5-300nc4,6470391
mj5-300nc5,6819958
mj10-300nc1,2763183
mj10-300nc2,2589880
mj10-300nc3,2334005
mj10-300nc4,2657378
mj10-300nc5,2788363
mj20-300nc1,1192967
mj20-300nc2,1169217
mj20-300nc3,1199375
mj20-300nc4,1180748
mj20-300nc5,1210792
mj50-300nc1,337512
mj50-300nc2,472703
mj50-300nc3,439301
mj50-300nc4,425714
mj50-300nc5,488344
mj5-500nc1,18617619
mj5-500nc2,18327005
mj5-500nc3,17560332
mj5-500nc4,18269630
mj5-500nc5,18067266
mj10-500nc1,8237479
mj10-500nc2,8340679
mj10-500nc3,8512908
mj10-500nc4,8471013
mj10-500nc5,8608644
mj20-500nc1,1948732
mj20-500nc2,1968642
mj20-500nc3,1974066
mj20-500nc4,1989793
mj20-500nc5,1991247
mj50-500nc1,449021
mj50-500nc2,453102
mj50-500nc3,457877
mj50-500nc4,462481
mj50-500nc5,468998
mj5-1000nc1,70026340
mj5-1000nc2,75061476
mj5-1000nc3,69931478
mj5-1000nc4,76647512
mj5-1000nc5,73452321
