id,arrival_time,weight,op1_id,op1_time
J1,0.0,96.0,Op_J1_S1,"[23, 35, 95, 88, 59]"
J2,0.0,16.0,Op_J2_S1,"[23, 35, 95, 88, 59]"
J3,0.0,7.0,Op_J3_S1,"[23, 35, 95, 88, 59]"
J4,0.0,55.0,Op_J4_S1,"[23, 35, 95, 88, 59]"
J5,0.0,65.0,Op_J5_S1,"[23, 35, 95, 88, 59]"
J6,0.0,2.0,Op_J6_S1,"[23, 35, 95, 88, 59]"
J7,0.0,39.0,Op_J7_S1,"[23, 35, 95, 88, 59]"
J8,0.0,2.0,Op_J8_S1,"[23, 35, 95, 88, 59]"
J9,0.0,12.0,Op_J9_S1,"[23, 35, 95, 88, 59]"
J10,0.0,74.0,Op_J10_S1,"[23, 35, 95, 88, 59]"
J11,0.0,48.0,Op_J11_S1,"[23, 35, 95, 88, 59]"
J12,0.0,97.0,Op_J12_S1,"[23, 35, 95, 88, 59]"
J13,0.0,86.0,Op_J13_S1,"[23, 35, 95, 88, 59]"
J14,0.0,100.0,Op_J14_S1,"[23, 35, 95, 88, 59]"
J15,0.0,69.0,Op_J15_S1,"[23, 35, 95, 88, 59]"
J16,0.0,12.0,Op_J16_S1,"[23, 35, 95, 88, 59]"
J17,0.0,79.0,Op_J17_S1,"[23, 35, 95, 88, 59]"
J18,0.0,1.0,Op_J18_S1,"[23, 35, 95, 88, 59]"
J19,0.0,26.0,Op_J19_S1,"[23, 35, 95, 88, 59]"
J20,0.0,53.0,Op_J20_S1,"[23, 35, 95, 88, 59]"
J21,0.0,8.0,Op_J21_S1,"[23, 35, 95, 88, 59]"
J22,0.0,22.0,Op_J22_S1,"[23, 35, 95, 88, 59]"
J23,0.0,47.0,Op_J23_S1,"[23, 35, 95, 88, 59]"
J24,0.0,82.0,Op_J24_S1,"[23, 35, 95, 88, 59]"
J25,0.0,97.0,Op_J25_S1,"[23, 35, 95, 88, 59]"
J26,0.0,11.0,Op_J26_S1,"[23, 35, 95, 88, 59]"
J27,0.0,44.0,Op_J27_S1,"[23, 35, 95, 88, 59]"
J28,0.0,23.0,Op_J28_S1,"[23, 35, 95, 88, 59]"
J29,0.0,34.0,Op_J29_S1,"[23, 35, 95, 88, 59]"
J30,0.0,58.0,Op_J30_S1,"[23, 35, 95, 88, 59]"
J31,0.0,99.0,Op_J31_S1,"[23, 35, 95, 88, 59]"
J32,0.0,39.0,Op_J32_S1,"[23, 35, 95, 88, 59]"
J33,0.0,17.0,Op_J33_S1,"[23, 35, 95, 88, 59]"
J34,0.0,52.0,Op_J34_S1,"[23, 35, 95, 88, 59]"
J35,0.0,82.0,Op_J35_S1,"[23, 35, 95, 88, 59]"
J36,0.0,56.0,Op_J36_S1,"[23, 35, 95, 88, 59]"
J37,0.0,95.0,Op_J37_S1,"[23, 35, 95, 88, 59]"
J38,0.0,15.0,Op_J38_S1,"[23, 35, 95, 88, 59]"
J39,0.0,17.0,Op_J39_S1,"[23, 35, 95, 88, 59]"
J40,0.0,77.0,Op_J40_S1,"[23, 35, 95, 88, 59]"
J41,0.0,44.0,Op_J41_S1,"[23, 35, 95, 88, 59]"
J42,0.0,1.0,Op_J42_S1,"[23, 35, 95, 88, 59]"
J43,0.0,37.0,Op_J43_S1,"[23, 35, 95, 88, 59]"
J44,0.0,81.0,Op_J44_S1,"[23, 35, 95, 88, 59]"
J45,0.0,2.0,Op_J45_S1,"[23, 35, 95, 88, 59]"
J46,0.0,76.0,Op_J46_S1,"[23, 35, 95, 88, 59]"
J47,0.0,49.0,Op_J47_S1,"[23, 35, 95, 88, 59]"
J48,0.0,16.0,Op_J48_S1,"[23, 35, 95, 88, 59]"
J49,0.0,39.0,Op_J49_S1,"[23, 35, 95, 88, 59]"
J50,0.0,89.0,Op_J50_S1,"[23, 35, 95, 88, 59]"
J51,0.0,45.0,Op_J51_S1,"[23, 35, 95, 88, 59]"
J52,0.0,85.0,Op_J52_S1,"[23, 35, 95, 88, 59]"
J53,0.0,18.0,Op_J53_S1,"[23, 35, 95, 88, 59]"
J54,0.0,86.0,Op_J54_S1,"[23, 35, 95, 88, 59]"
J55,0.0,18.0,Op_J55_S1,"[23, 35, 95, 88, 59]"
J56,0.0,14.0,Op_J56_S1,"[23, 35, 95, 88, 59]"
J57,0.0,26.0,Op_J57_S1,"[23, 35, 95, 88, 59]"
J58,0.0,28.0,Op_J58_S1,"[23, 35, 95, 88, 59]"
J59,0.0,15.0,Op_J59_S1,"[23, 35, 95, 88, 59]"
J60,0.0,33.0,Op_J60_S1,"[23, 35, 95, 88, 59]"
J61,0.0,83.0,Op_J61_S1,"[23, 35, 95, 88, 59]"
J62,0.0,62.0,Op_J62_S1,"[23, 35, 95, 88, 59]"
J63,0.0,8.0,Op_J63_S1,"[23, 35, 95, 88, 59]"
J64,0.0,34.0,Op_J64_S1,"[23, 35, 95, 88, 59]"
J65,0.0,91.0,Op_J65_S1,"[23, 35, 95, 88, 59]"
J66,0.0,83.0,Op_J66_S1,"[23, 35, 95, 88, 59]"
J67,0.0,45.0,Op_J67_S1,"[23, 35, 95, 88, 59]"
J68,0.0,45.0,Op_J68_S1,"[23, 35, 95, 88, 59]"
J69,0.0,49.0,Op_J69_S1,"[23, 35, 95, 88, 59]"
J70,0.0,62.0,Op_J70_S1,"[23, 35, 95, 88, 59]"
J71,0.0,24.0,Op_J71_S1,"[23, 35, 95, 88, 59]"
J72,0.0,27.0,Op_J72_S1,"[23, 35, 95, 88, 59]"
J73,0.0,39.0,Op_J73_S1,"[23, 35, 95, 88, 59]"
J74,0.0,71.0,Op_J74_S1,"[23, 35, 95, 88, 59]"
J75,0.0,7.0,Op_J75_S1,"[23, 35, 95, 88, 59]"
J76,0.0,14.0,Op_J76_S1,"[23, 35, 95, 88, 59]"
J77,0.0,100.0,Op_J77_S1,"[23, 35, 95, 88, 59]"
J78,0.0,78.0,Op_J78_S1,"[23, 35, 95, 88, 59]"
J79,0.0,73.0,Op_J79_S1,"[23, 35, 95, 88, 59]"
J80,0.0,63.0,Op_J80_S1,"[23, 35, 95, 88, 59]"
J81,0.0,87.0,Op_J81_S1,"[23, 35, 95, 88, 59]"
J82,0.0,26.0,Op_J82_S1,"[23, 35, 95, 88, 59]"
J83,0.0,91.0,Op_J83_S1,"[23, 35, 95, 88, 59]"
J84,0.0,94.0,Op_J84_S1,"[23, 35, 95, 88, 59]"
J85,0.0,28.0,Op_J85_S1,"[23, 35, 95, 88, 59]"
J86,0.0,49.0,Op_J86_S1,"[23, 35, 95, 88, 59]"
J87,0.0,4.0,Op_J87_S1,"[23, 35, 95, 88, 59]"
J88,0.0,43.0,Op_J88_S1,"[23, 35, 95, 88, 59]"
J89,0.0,67.0,Op_J89_S1,"[23, 35, 95, 88, 59]"
J90,0.0,39.0,Op_J90_S1,"[23, 35, 95, 88, 59]"
J91,0.0,26.0,Op_J91_S1,"[23, 35, 95, 88, 59]"
J92,0.0,79.0,Op_J92_S1,"[23, 35, 95, 88, 59]"
