id,arrival_time,op1_id,op1_time,op2_id,op2_time,op3_id,op3_time,op4_id,op4_time,op5_id,op5_time
J1,0.0,Op_J1_S1,21.0,Op_J1_S2,53.0,Op_J1_S3,95.0,Op_J1_S4,55.0,Op_J1_S5,34.0
J2,0.0,Op_J2_S1,21.0,Op_J2_S2,52.0,Op_J2_S3,16.0,Op_J2_S4,26.0,Op_J2_S5,71.0
J3,0.0,Op_J3_S1,39.0,Op_J3_S2,98.0,Op_J3_S3,42.0,Op_J3_S4,31.0,Op_J3_S5,12.0
J4,0.0,Op_J4_S1,77.0,Op_J4_S2,55.0,Op_J4_S3,79.0,Op_J4_S4,66.0,Op_J4_S5,77.0
J5,0.0,Op_J5_S1,83.0,Op_J5_S2,34.0,Op_J5_S3,64.0,Op_J5_S4,19.0,Op_J5_S5,37.0
J6,0.0,Op_J6_S1,54.0,Op_J6_S2,43.0,Op_J6_S3,79.0,Op_J6_S4,92.0,Op_J6_S5,62.0
J7,0.0,Op_J7_S1,69.0,Op_J7_S2,77.0,Op_J7_S3,87.0,Op_J7_S4,87.0,Op_J7_S5,93.0
J8,0.0,Op_J8_S1,38.0,Op_J8_S2,60.0,Op_J8_S3,41.0,Op_J8_S4,24.0,Op_J8_S5,83.0
J9,0.0,Op_J9_S1,17.0,Op_J9_S2,49.0,Op_J9_S3,25.0,Op_J9_S4,44.0,Op_J9_S5,98.0
J10,0.0,Op_J10_S1,77.0,Op_J10_S2,79.0,Op_J10_S3,43.0,Op_J10_S4,75.0,Op_J10_S5,96.0
