id,arrival_time,op1_id,op1_time,op2_id,op2_time,op3_id,op3_time,op4_id,op4_time,op5_id,op5_time,op6_id,op6_time,op7_id,op7_time,op8_id,op8_time,op9_id,op9_time,op10_id,op10_time,op11_id,op11_time,op12_id,op12_time,op13_id,op13_time,op14_id,op14_time,op15_id,op15_time
J1,0.0,Op_J1_S1,26.0,Op_J1_S2,67.0,Op_J1_S3,72.0,Op_J1_S4,74.0,Op_J1_S5,13.0,Op_J1_S6,43.0,Op_J1_S7,30.0,Op_J1_S8,19.0,Op_J1_S9,23.0,Op_J1_S10,85.0,Op_J1_S11,98.0,Op_J1_S12,43.0,Op_J1_S13,38.0,Op_J1_S14,8.0,Op_J1_S15,75.0
J2,0.0,Op_J2_S1,42.0,Op_J2_S2,39.0,Op_J2_S3,55.0,Op_J2_S4,46.0,Op_J2_S5,19.0,Op_J2_S6,93.0,Op_J2_S7,80.0,Op_J2_S8,26.0,Op_J2_S9,7.0,Op_J2_S10,50.0,Op_J2_S11,57.0,Op_J2_S12,73.0,Op_J2_S13,9.0,Op_J2_S14,61.0,Op_J2_S15,72.0
J3,0.0,Op_J3_S1,96.0,Op_J3_S2,99.0,Op_J3_S3,34.0,Op_J3_S4,60.0,Op_J3_S5,43.0,Op_J3_S6,7.0,Op_J3_S7,12.0,Op_J3_S8,11.0,Op_J3_S9,70.0,Op_J3_S10,43.0,Op_J3_S11,91.0,Op_J3_S12,68.0,Op_J3_S13,11.0,Op_J3_S14,68.0,Op_J3_S15,72.0
J4,0.0,Op_J4_S1,63.0,Op_J4_S2,45.0,Op_J4_S3,49.0,Op_J4_S4,74.0,Op_J4_S5,27.0,Op_J4_S6,30.0,Op_J4_S7,72.0,Op_J4_S8,9.0,Op_J4_S9,99.0,Op_J4_S10,60.0,Op_J4_S11,69.0,Op_J4_S12,69.0,Op_J4_S13,84.0,Op_J4_S14,40.0,Op_J4_S15,59.0
J5,0.0,Op_J5_S1,91.0,Op_J5_S2,75.0,Op_J5_S3,98.0,Op_J5_S4,17.0,Op_J5_S5,72.0,Op_J5_S6,31.0,Op_J5_S7,9.0,Op_J5_S8,98.0,Op_J5_S9,50.0,Op_J5_S10,37.0,Op_J5_S11,8.0,Op_J5_S12,65.0,Op_J5_S13,90.0,Op_J5_S14,91.0,Op_J5_S15,71.0
J6,0.0,Op_J6_S1,35.0,Op_J6_S2,80.0,Op_J6_S3,39.0,Op_J6_S4,62.0,Op_J6_S5,74.0,Op_J6_S6,72.0,Op_J6_S7,35.0,Op_J6_S8,25.0,Op_J6_S9,49.0,Op_J6_S10,52.0,Op_J6_S11,63.0,Op_J6_S12,90.0,Op_J6_S13,21.0,Op_J6_S14,47.0,Op_J6_S15,38.0
J7,0.0,Op_J7_S1,19.0,Op_J7_S2,57.0,Op_J7_S3,24.0,Op_J7_S4,91.0,Op_J7_S5,50.0,Op_J7_S6,5.0,Op_J7_S7,49.0,Op_J7_S8,18.0,Op_J7_S9,58.0,Op_J7_S10,24.0,Op_J7_S11,52.0,Op_J7_S12,88.0,Op_J7_S13,68.0,Op_J7_S14,20.0,Op_J7_S15,53.0
J8,0.0,Op_J8_S1,77.0,Op_J8_S2,72.0,Op_J8_S3,35.0,Op_J8_S4,90.0,Op_J8_S5,68.0,Op_J8_S6,18.0,Op_J8_S7,9.0,Op_J8_S8,33.0,Op_J8_S9,60.0,Op_J8_S10,18.0,Op_J8_S11,10.0,Op_J8_S12,60.0,Op_J8_S13,38.0,Op_J8_S14,99.0,Op_J8_S15,15.0
J9,0.0,Op_J9_S1,6.0,Op_J9_S2,86.0,Op_J9_S3,40.0,Op_J9_S4,79.0,Op_J9_S5,92.0,Op_J9_S6,23.0,Op_J9_S7,89.0,Op_J9_S8,95.0,Op_J9_S9,91.0,Op_J9_S10,72.0,Op_J9_S11,80.0,Op_J9_S12,60.0,Op_J9_S13,56.0,Op_J9_S14,51.0,Op_J9_S15,23.0
J10,0.0,Op_J10_S1,46.0,Op_J10_S2,28.0,Op_J10_S3,34.0,Op_J10_S4,77.0,Op_J10_S5,47.0,Op_J10_S6,10.0,Op_J10_S7,49.0,Op_J10_S8,77.0,Op_J10_S9,48.0,Op_J10_S10,24.0,Op_J10_S11,8.0,Op_J10_S12,72.0,Op_J10_S13,55.0,Op_J10_S14,29.0,Op_J10_S15,40.0
J11,0.0,Op_J11_S1,22.0,Op_J11_S2,89.0,Op_J11_S3,79.0,Op_J11_S4,7.0,Op_J11_S5,15.0,Op_J11_S6,6.0,Op_J11_S7,30.0,Op_J11_S8,38.0,Op_J11_S9,11.0,Op_J11_S10,52.0,Op_J11_S11,20.0,Op_J11_S12,5.0,Op_J11_S13,9.0,Op_J11_S14,20.0,Op_J11_S15,28.0
J12,0.0,Op_J12_S1,73.0,Op_J12_S2,56.0,Op_J12_S3,37.0,Op_J12_S4,22.0,Op_J12_S5,25.0,Op_J12_S6,58.0,Op_J12_S7,8.0,Op_J12_S8,93.0,Op_J12_S9,88.0,Op_J12_S10,17.0,Op_J12_S11,9.0,Op_J12_S12,69.0,Op_J12_S13,71.0,Op_J12_S14,85.0,Op_J12_S15,55.0
J13,0.0,Op_J13_S1,85.0,Op_J13_S2,58.0,Op_J13_S3,46.0,Op_J13_S4,64.0,Op_J13_S5,49.0,Op_J13_S6,37.0,Op_J13_S7,33.0,Op_J13_S8,30.0,Op_J13_S9,26.0,Op_J13_S10,20.0,Op_J13_S11,74.0,Op_J13_S12,77.0,Op_J13_S13,99.0,Op_J13_S14,56.0,Op_J13_S15,21.0
J14,0.0,Op_J14_S1,17.0,Op_J14_S2,24.0,Op_J14_S3,89.0,Op_J14_S4,15.0,Op_J14_S5,60.0,Op_J14_S6,42.0,Op_J14_S7,98.0,Op_J14_S8,64.0,Op_J14_S9,92.0,Op_J14_S10,63.0,Op_J14_S11,52.0,Op_J14_S12,54.0,Op_J14_S13,75.0,Op_J14_S14,23.0,Op_J14_S15,38.0
