id,arrival_time,op1_id,op1_time,op2_id,op2_time,op3_id,op3_time,op4_id,op4_time,op5_id,op5_time
J1,0.0,Op_J1_S1,54.0,Op_J1_S2,83.0,Op_J1_S3,15.0,Op_J1_S4,71.0,Op_J1_S5,77.0
J2,0.0,Op_J2_S1,36.0,Op_J2_S2,53.0,Op_J2_S3,38.0,Op_J2_S4,27.0,Op_J2_S5,87.0
J3,0.0,Op_J3_S1,76.0,Op_J3_S2,91.0,Op_J3_S3,14.0,Op_J3_S4,29.0,Op_J3_S5,12.0
J4,0.0,Op_J4_S1,77.0,Op_J4_S2,32.0,Op_J4_S3,87.0,Op_J4_S4,68.0,Op_J4_S5,94.0
J5,0.0,Op_J5_S1,79.0,Op_J5_S2,3.0,Op_J5_S3,11.0,Op_J5_S4,99.0,Op_J5_S5,56.0
J6,0.0,Op_J6_S1,70.0,Op_J6_S2,99.0,Op_J6_S3,60.0,Op_J6_S4,5.0,Op_J6_S5,56.0
J7,0.0,Op_J7_S1,3.0,Op_J7_S2,61.0,Op_J7_S3,73.0,Op_J7_S4,75.0,Op_J7_S5,47.0
J8,0.0,Op_J8_S1,14.0,Op_J8_S2,21.0,Op_J8_S3,86.0,Op_J8_S4,5.0,Op_J8_S5,77.0
J9,0.0,Op_J9_S1,16.0,Op_J9_S2,89.0,Op_J9_S3,49.0,Op_J9_S4,15.0,Op_J9_S5,89.0
J10,0.0,Op_J10_S1,45.0,Op_J10_S2,60.0,Op_J10_S3,23.0,Op_J10_S4,57.0,Op_J10_S5,64.0
J11,0.0,Op_J11_S1,7.0,Op_J11_S2,1.0,Op_J11_S3,63.0,Op_J11_S4,41.0,Op_J11_S5,63.0
J12,0.0,Op_J12_S1,47.0,Op_J12_S2,26.0,Op_J12_S3,75.0,Op_J12_S4,77.0,Op_J12_S5,40.0
J13,0.0,Op_J13_S1,66.0,Op_J13_S2,58.0,Op_J13_S3,31.0,Op_J13_S4,68.0,Op_J13_S5,78.0
J14,0.0,Op_J14_S1,91.0,Op_J14_S2,13.0,Op_J14_S3,59.0,Op_J14_S4,49.0,Op_J14_S5,85.0
J15,0.0,Op_J15_S1,85.0,Op_J15_S2,9.0,Op_J15_S3,39.0,Op_J15_S4,41.0,Op_J15_S5,56.0
J16,0.0,Op_J16_S1,40.0,Op_J16_S2,54.0,Op_J16_S3,77.0,Op_J16_S4,51.0,Op_J16_S5,31.0
J17,0.0,Op_J17_S1,58.0,Op_J17_S2,56.0,Op_J17_S3,20.0,Op_J17_S4,85.0,Op_J17_S5,53.0
J18,0.0,Op_J18_S1,35.0,Op_J18_S2,53.0,Op_J18_S3,41.0,Op_J18_S4,69.0,Op_J18_S5,13.0
J19,0.0,Op_J19_S1,86.0,Op_J19_S2,72.0,Op_J19_S3,8.0,Op_J19_S4,49.0,Op_J19_S5,47.0
J20,0.0,Op_J20_S1,87.0,Op_J20_S2,58.0,Op_J20_S3,18.0,Op_J20_S4,68.0,Op_J20_S5,28.0
