id,job_id,process,time,weight
Op_J1_S1,J1,"M1,M2,M3,M4,M5","23,35,95,88,59",96.0
Op_J2_S1,J2,"M1,M2,M3,M4,M5","79,38,87,32,33",16.0
Op_J3_S1,J3,"M1,M2,M3,M4,M5","40,84,48,93,46",7.0
Op_J4_S1,J4,"M1,M2,M3,M4,M5","38,52,70,43,11",55.0
Op_J5_S1,J5,"M1,M2,M3,M4,M5","89,80,43,92,10",65.0
Op_J6_S1,J6,"M1,M2,M3,M4,M5","72,84,87,13,16",2.0
Op_J7_S1,J7,"M1,M2,M3,M4,M5","31,69,37,47,34",39.0
Op_J8_S1,J8,"M1,M2,M3,M4,M5","27,13,55,32,56",2.0
Op_J9_S1,J9,"M1,M2,M3,M4,M5","82,35,85,48,51",12.0
Op_J10_S1,J10,"M1,M2,M3,M4,M5","19,58,35,35,35",74.0
Op_J11_S1,J11,"M1,M2,M3,M4,M5","40,83,40,15,21",48.0
Op_J12_S1,J12,"M1,M2,M3,M4,M5","98,89,30,18,37",97.0
Op_J13_S1,J13,"M1,M2,M3,M4,M5","79,50,30,62,12",86.0
Op_J14_S1,J14,"M1,M2,M3,M4,M5","78,75,28,83,59",100.0
Op_J15_S1,J15,"M1,M2,M3,M4,M5","13,57,22,59,32",69.0
Op_J16_S1,J16,"M1,M2,M3,M4,M5","61,11,12,65,72",12.0
Op_J17_S1,J17,"M1,M2,M3,M4,M5","44,33,21,34,77",79.0
Op_J18_S1,J18,"M1,M2,M3,M4,M5","24,77,25,25,41",1.0
Op_J19_S1,J19,"M1,M2,M3,M4,M5","36,24,64,66,91",26.0
Op_J20_S1,J20,"M1,M2,M3,M4,M5","90,29,45,82,79",53.0
Op_J21_S1,J21,"M1,M2,M3,M4,M5","55,34,82,33,46",8.0
Op_J22_S1,J22,"M1,M2,M3,M4,M5","77,65,62,14,24",22.0
Op_J23_S1,J23,"M1,M2,M3,M4,M5","61,12,73,41,81",47.0
Op_J24_S1,J24,"M1,M2,M3,M4,M5","24,69,43,98,70",82.0
Op_J25_S1,J25,"M1,M2,M3,M4,M5","18,79,55,81,23",97.0
Op_J26_S1,J26,"M1,M2,M3,M4,M5","22,66,81,51,23",11.0
Op_J27_S1,J27,"M1,M2,M3,M4,M5","17,67,94,82,17",44.0
Op_J28_S1,J28,"M1,M2,M3,M4,M5","38,75,78,65,30",23.0
Op_J29_S1,J29,"M1,M2,M3,M4,M5","61,12,58,43,13",34.0
Op_J30_S1,J30,"M1,M2,M3,M4,M5","75,92,37,47,28",58.0
Op_J31_S1,J31,"M1,M2,M3,M4,M5","26,61,37,53,34",99.0
Op_J32_S1,J32,"M1,M2,M3,M4,M5","72,35,87,31,55",39.0
Op_J33_S1,J33,"M1,M2,M3,M4,M5","45,78,81,69,99",17.0
Op_J34_S1,J34,"M1,M2,M3,M4,M5","38,78,19,19,93",52.0
Op_J35_S1,J35,"M1,M2,M3,M4,M5","26,69,65,84,77",82.0
Op_J36_S1,J36,"M1,M2,M3,M4,M5","27,73,39,59,52",56.0
Op_J37_S1,J37,"M1,M2,M3,M4,M5","28,63,17,60,72",95.0
Op_J38_S1,J38,"M1,M2,M3,M4,M5","60,63,94,74,92",15.0
Op_J39_S1,J39,"M1,M2,M3,M4,M5","86,62,72,27,91",17.0
Op_J40_S1,J40,"M1,M2,M3,M4,M5","78,34,65,90,33",77.0
Op_J41_S1,J41,"M1,M2,M3,M4,M5","96,66,38,80,38",44.0
Op_J42_S1,J42,"M1,M2,M3,M4,M5","86,83,54,37,21",1.0
Op_J43_S1,J43,"M1,M2,M3,M4,M5","40,84,49,89,25",37.0
Op_J44_S1,J44,"M1,M2,M3,M4,M5","71,52,87,74,77",81.0
Op_J45_S1,J45,"M1,M2,M3,M4,M5","40,16,47,99,36",2.0
Op_J46_S1,J46,"M1,M2,M3,M4,M5","37,41,85,50,68",76.0
Op_J47_S1,J47,"M1,M2,M3,M4,M5","91,47,62,59,51",49.0
Op_J48_S1,J48,"M1,M2,M3,M4,M5","30,93,98,26,48",16.0
Op_J49_S1,J49,"M1,M2,M3,M4,M5","25,72,90,62,43",39.0
Op_J50_S1,J50,"M1,M2,M3,M4,M5","41,34,68,96,84",89.0
Op_J51_S1,J51,"M1,M2,M3,M4,M5","39,74,90,65,44",45.0
Op_J52_S1,J52,"M1,M2,M3,M4,M5","46,14,13,42,59",85.0
Op_J53_S1,J53,"M1,M2,M3,M4,M5","74,41,48,42,73",18.0
Op_J54_S1,J54,"M1,M2,M3,M4,M5","78,74,86,96,33",86.0
Op_J55_S1,J55,"M1,M2,M3,M4,M5","85,89,73,55,35",18.0
Op_J56_S1,J56,"M1,M2,M3,M4,M5","88,25,83,24,79",14.0
Op_J57_S1,J57,"M1,M2,M3,M4,M5","39,55,67,12,36",26.0
Op_J58_S1,J58,"M1,M2,M3,M4,M5","79,15,52,66,77",28.0
Op_J59_S1,J59,"M1,M2,M3,M4,M5","17,19,47,27,77",15.0
Op_J60_S1,J60,"M1,M2,M3,M4,M5","82,98,81,96,99",33.0
Op_J61_S1,J61,"M1,M2,M3,M4,M5","70,55,45,28,17",83.0
Op_J62_S1,J62,"M1,M2,M3,M4,M5","16,82,31,76,86",62.0
Op_J63_S1,J63,"M1,M2,M3,M4,M5","79,56,40,72,57",8.0
Op_J64_S1,J64,"M1,M2,M3,M4,M5","20,97,55,53,20",34.0
Op_J65_S1,J65,"M1,M2,M3,M4,M5","78,34,84,32,87",91.0
Op_J66_S1,J66,"M1,M2,M3,M4,M5","24,83,30,89,21",83.0
Op_J67_S1,J67,"M1,M2,M3,M4,M5","23,64,22,72,93",45.0
Op_J68_S1,J68,"M1,M2,M3,M4,M5","88,45,62,66,79",45.0
Op_J69_S1,J69,"M1,M2,M3,M4,M5","65,78,43,35,75",49.0
Op_J70_S1,J70,"M1,M2,M3,M4,M5","83,74,28,61,70",62.0
Op_J71_S1,J71,"M1,M2,M3,M4,M5","82,63,53,57,100",24.0
Op_J72_S1,J72,"M1,M2,M3,M4,M5","14,46,71,16,51",27.0
Op_J73_S1,J73,"M1,M2,M3,M4,M5","85,89,30,58,43",39.0
Op_J74_S1,J74,"M1,M2,M3,M4,M5","21,77,50,47,97",71.0
Op_J75_S1,J75,"M1,M2,M3,M4,M5","30,28,68,82,58",7.0
Op_J76_S1,J76,"M1,M2,M3,M4,M5","99,42,41,41,47",14.0
Op_J77_S1,J77,"M1,M2,M3,M4,M5","10,68,22,90,24",100.0
Op_J78_S1,J78,"M1,M2,M3,M4,M5","22,75,83,28,84",78.0
Op_J79_S1,J79,"M1,M2,M3,M4,M5","66,34,33,13,66",73.0
Op_J80_S1,J80,"M1,M2,M3,M4,M5","49,10,99,41,46",63.0
Op_J81_S1,J81,"M1,M2,M3,M4,M5","51,23,52,97,24",87.0
Op_J82_S1,J82,"M1,M2,M3,M4,M5","41,93,84,91,51",26.0
Op_J83_S1,J83,"M1,M2,M3,M4,M5","73,89,35,23,53",91.0
Op_J84_S1,J84,"M1,M2,M3,M4,M5","50,67,24,51,48",94.0
Op_J85_S1,J85,"M1,M2,M3,M4,M5","34,89,93,96,25",28.0
Op_J86_S1,J86,"M1,M2,M3,M4,M5","12,86,44,24,50",49.0
Op_J87_S1,J87,"M1,M2,M3,M4,M5","72,89,91,33,40",4.0
Op_J88_S1,J88,"M1,M2,M3,M4,M5","22,48,31,81,73",43.0
Op_J89_S1,J89,"M1,M2,M3,M4,M5","82,27,33,66,15",67.0
Op_J90_S1,J90,"M1,M2,M3,M4,M5","50,57,84,60,46",39.0
Op_J91_S1,J91,"M1,M2,M3,M4,M5","91,16,72,84,55",26.0
Op_J92_S1,J92,"M1,M2,M3,M4,M5","63,82,31,98,49",79.0
Op_J93_S1,J93,"M1,M2,M3,M4,M5","72,40,25,49,59",54.0
Op_J94_S1,J94,"M1,M2,M3,M4,M5","73,47,34,80,26",30.0
Op_J95_S1,J95,"M1,M2,M3,M4,M5","78,49,96,41,74",18.0
Op_J96_S1,J96,"M1,M2,M3,M4,M5","96,57,88,44,63",47.0
Op_J97_S1,J97,"M1,M2,M3,M4,M5","63,29,24,20,65",68.0
Op_J98_S1,J98,"M1,M2,M3,M4,M5","54,43,18,98,82",10.0
Op_J99_S1,J99,"M1,M2,M3,M4,M5","48,59,72,59,18",83.0
Op_J100_S1,J100,"M1,M2,M3,M4,M5","97,27,35,79,17",66.0
Op_J101_S1,J101,"M1,M2,M3,M4,M5","16,92,63,97,20",4.0
Op_J102_S1,J102,"M1,M2,M3,M4,M5","78,98,72,15,62",70.0
Op_J103_S1,J103,"M1,M2,M3,M4,M5","90,81,79,40,38",49.0
Op_J104_S1,J104,"M1,M2,M3,M4,M5","78,23,58,21,32",78.0
Op_J105_S1,J105,"M1,M2,M3,M4,M5","57,27,54,21,13",88.0
Op_J106_S1,J106,"M1,M2,M3,M4,M5","62,45,89,66,51",10.0
Op_J107_S1,J107,"M1,M2,M3,M4,M5","52,71,80,45,81",42.0
Op_J108_S1,J108,"M1,M2,M3,M4,M5","25,16,46,31,37",58.0
Op_J109_S1,J109,"M1,M2,M3,M4,M5","17,91,93,97,32",1.0
Op_J110_S1,J110,"M1,M2,M3,M4,M5","50,12,53,14,28",25.0
Op_J111_S1,J111,"M1,M2,M3,M4,M5","84,48,51,85,79",49.0
Op_J112_S1,J112,"M1,M2,M3,M4,M5","46,19,32,15,20",65.0
Op_J113_S1,J113,"M1,M2,M3,M4,M5","17,72,82,52,16",19.0
Op_J114_S1,J114,"M1,M2,M3,M4,M5","73,97,12,25,99",49.0
Op_J115_S1,J115,"M1,M2,M3,M4,M5","58,90,52,54,62",27.0
Op_J116_S1,J116,"M1,M2,M3,M4,M5","21,44,18,48,41",64.0
Op_J117_S1,J117,"M1,M2,M3,M4,M5","48,85,60,80,73",10.0
Op_J118_S1,J118,"M1,M2,M3,M4,M5","13,67,14,81,47",34.0
Op_J119_S1,J119,"M1,M2,M3,M4,M5","77,95,70,70,54",87.0
Op_J120_S1,J120,"M1,M2,M3,M4,M5","93,58,33,69,22",99.0
Op_J121_S1,J121,"M1,M2,M3,M4,M5","88,33,83,86,27",72.0
Op_J122_S1,J122,"M1,M2,M3,M4,M5","15,39,25,51,11",21.0
Op_J123_S1,J123,"M1,M2,M3,M4,M5","15,15,19,60,40",80.0
Op_J124_S1,J124,"M1,M2,M3,M4,M5","24,74,25,50,76",87.0
