id,process,time
Op_J1_S1,M2,21.0
Op_J1_S2,M1,53.0
Op_J1_S3,M5,95.0
Op_J1_S4,M4,55.0
Op_J1_S5,M3,34.0
Op_J2_S1,M1,21.0
Op_J2_S2,M4,52.0
Op_J2_S3,M5,16.0
Op_J2_S4,M3,26.0
Op_J2_S5,M2,71.0
Op_J3_S1,M4,39.0
Op_J3_S2,M5,98.0
Op_J3_S3,M2,42.0
Op_J3_S4,M3,31.0
Op_J3_S5,M1,12.0
Op_J4_S1,M2,77.0
Op_J4_S2,M1,55.0
Op_J4_S3,M5,79.0
Op_J4_S4,M3,66.0
Op_J4_S5,M4,77.0
Op_J5_S1,M1,83.0
Op_J5_S2,M4,34.0
Op_J5_S3,M3,64.0
Op_J5_S4,M2,19.0
Op_J5_S5,M5,37.0
Op_J6_S1,M2,54.0
Op_J6_S2,M3,43.0
Op_J6_S3,M5,79.0
Op_J6_S4,M1,92.0
Op_J6_S5,M4,62.0
Op_J7_S1,M4,69.0
Op_J7_S2,M5,77.0
Op_J7_S3,M2,87.0
Op_J7_S4,M3,87.0
Op_J7_S5,M1,93.0
Op_J8_S1,M3,38.0
Op_J8_S2,M1,60.0
Op_J8_S3,M2,41.0
Op_J8_S4,M4,24.0
Op_J8_S5,M5,83.0
Op_J9_S1,M4,17.0
Op_J9_S2,M2,49.0
Op_J9_S3,M5,25.0
Op_J9_S4,M1,44.0
Op_J9_S5,M3,98.0
Op_J10_S1,M5,77.0
Op_J10_S2,M4,79.0
Op_J10_S3,M3,43.0
Op_J10_S4,M2,75.0
Op_J10_S5,M1,96.0
