id,process,time
Op_J1_S1,M1,54.0
Op_J1_S2,M2,83.0
Op_J1_S3,M3,15.0
Op_J1_S4,M4,71.0
Op_J1_S5,M5,77.0
Op_J2_S1,M1,36.0
Op_J2_S2,M2,53.0
Op_J2_S3,M3,38.0
Op_J2_S4,M4,27.0
Op_J2_S5,M5,87.0
Op_J3_S1,M1,76.0
Op_J3_S2,M2,91.0
Op_J3_S3,M3,14.0
Op_J3_S4,M4,29.0
Op_J3_S5,M5,12.0
Op_J4_S1,M1,77.0
Op_J4_S2,M2,32.0
Op_J4_S3,M3,87.0
Op_J4_S4,M4,68.0
Op_J4_S5,M5,94.0
Op_J5_S1,M1,79.0
Op_J5_S2,M2,3.0
Op_J5_S3,M3,11.0
Op_J5_S4,M4,99.0
Op_J5_S5,M5,56.0
Op_J6_S1,M1,70.0
Op_J6_S2,M2,99.0
Op_J6_S3,M3,60.0
Op_J6_S4,M4,5.0
Op_J6_S5,M5,56.0
Op_J7_S1,M1,3.0
Op_J7_S2,M2,61.0
Op_J7_S3,M3,73.0
Op_J7_S4,M4,75.0
Op_J7_S5,M5,47.0
Op_J8_S1,M1,14.0
Op_J8_S2,M2,21.0
Op_J8_S3,M3,86.0
Op_J8_S4,M4,5.0
Op_J8_S5,M5,77.0
Op_J9_S1,M1,16.0
Op_J9_S2,M2,89.0
Op_J9_S3,M3,49.0
Op_J9_S4,M4,15.0
Op_J9_S5,M5,89.0
Op_J10_S1,M1,45.0
Op_J10_S2,M2,60.0
Op_J10_S3,M3,23.0
Op_J10_S4,M4,57.0
Op_J10_S5,M5,64.0
Op_J11_S1,M1,7.0
Op_J11_S2,M2,1.0
Op_J11_S3,M3,63.0
Op_J11_S4,M4,41.0
Op_J11_S5,M5,63.0
Op_J12_S1,M1,47.0
Op_J12_S2,M2,26.0
Op_J12_S3,M3,75.0
Op_J12_S4,M4,77.0
Op_J12_S5,M5,40.0
Op_J13_S1,M1,66.0
Op_J13_S2,M2,58.0
Op_J13_S3,M3,31.0
Op_J13_S4,M4,68.0
Op_J13_S5,M5,78.0
Op_J14_S1,M1,91.0
Op_J14_S2,M2,13.0
Op_J14_S3,M3,59.0
Op_J14_S4,M4,49.0
Op_J14_S5,M5,85.0
Op_J15_S1,M1,85.0
Op_J15_S2,M2,9.0
Op_J15_S3,M3,39.0
Op_J15_S4,M4,41.0
Op_J15_S5,M5,56.0
Op_J16_S1,M1,40.0
Op_J16_S2,M2,54.0
Op_J16_S3,M3,77.0
Op_J16_S4,M4,51.0
Op_J16_S5,M5,31.0
Op_J17_S1,M1,58.0
Op_J17_S2,M2,56.0
Op_J17_S3,M3,20.0
Op_J17_S4,M4,85.0
Op_J17_S5,M5,53.0
Op_J18_S1,M1,35.0
Op_J18_S2,M2,53.0
Op_J18_S3,M3,41.0
Op_J18_S4,M4,69.0
Op_J18_S5,M5,13.0
Op_J19_S1,M1,86.0
Op_J19_S2,M2,72.0
Op_J19_S3,M3,8.0
Op_J19_S4,M4,49.0
Op_J19_S5,M5,47.0
Op_J20_S1,M1,87.0
Op_J20_S2,M2,58.0
Op_J20_S3,M3,18.0
Op_J20_S4,M4,68.0
Op_J20_S5,M5,28.0
