arrival_time,job,operation,process,machine,capacity,processing_time,weight
0.0,J1,J1_O1,M1,M1,1,23.0,96.0
0.0,J1,J1_O1,M2,M2,1,35.0,96.0
0.0,J1,J1_O1,M3,M3,1,95.0,96.0
0.0,J1,J1_O1,M4,M4,1,88.0,96.0
0.0,J1,J1_O1,M5,M5,1,59.0,96.0
0.0,J2,J2_O1,M1,M1,1,79.0,16.0
0.0,J2,J2_O1,M2,M2,1,38.0,16.0
0.0,J2,J2_O1,M3,M3,1,87.0,16.0
0.0,J2,J2_O1,M4,M4,1,32.0,16.0
0.0,J2,J2_O1,M5,M5,1,33.0,16.0
0.0,J3,J3_O1,M1,M1,1,40.0,7.0
0.0,J3,J3_O1,M2,M2,1,84.0,7.0
0.0,J3,J3_O1,M3,M3,1,48.0,7.0
0.0,J3,J3_O1,M4,M4,1,93.0,7.0
0.0,J3,J3_O1,M5,M5,1,46.0,7.0
0.0,J4,J4_O1,M1,M1,1,38.0,55.0
0.0,J4,J4_O1,M2,M2,1,52.0,55.0
0.0,J4,J4_O1,M3,M3,1,70.0,55.0
0.0,J4,J4_O1,M4,M4,1,43.0,55.0
0.0,J4,J4_O1,M5,M5,1,11.0,55.0
0.0,J5,J5_O1,M1,M1,1,89.0,65.0
0.0,J5,J5_O1,M2,M2,1,80.0,65.0
0.0,J5,J5_O1,M3,M3,1,43.0,65.0
0.0,J5,J5_O1,M4,M4,1,92.0,65.0
0.0,J5,J5_O1,M5,M5,1,10.0,65.0
0.0,J6,J6_O1,M1,M1,1,72.0,2.0
0.0,J6,J6_O1,M2,M2,1,84.0,2.0
0.0,J6,J6_O1,M3,M3,1,87.0,2.0
0.0,J6,J6_O1,M4,M4,1,13.0,2.0
0.0,J6,J6_O1,M5,M5,1,16.0,2.0
0.0,J7,J7_O1,M1,M1,1,31.0,39.0
0.0,J7,J7_O1,M2,M2,1,69.0,39.0
0.0,J7,J7_O1,M3,M3,1,37.0,39.0
0.0,J7,J7_O1,M4,M4,1,47.0,39.0
0.0,J7,J7_O1,M5,M5,1,34.0,39.0
0.0,J8,J8_O1,M1,M1,1,27.0,2.0
0.0,J8,J8_O1,M2,M2,1,13.0,2.0
0.0,J8,J8_O1,M3,M3,1,55.0,2.0
0.0,J8,J8_O1,M4,M4,1,32.0,2.0
0.0,J8,J8_O1,M5,M5,1,56.0,2.0
0.0,J9,J9_O1,M1,M1,1,82.0,12.0
0.0,J9,J9_O1,M2,M2,1,35.0,12.0
0.0,J9,J9_O1,M3,M3,1,85.0,12.0
0.0,J9,J9_O1,M4,M4,1,48.0,12.0
