arrival_time,job,operation,process,machine,capacity,processing_time
0.0,J1,O1,P1,M2,1,21.0
0.0,J1,O2,P2,M1,1,53.0
0.0,J1,O3,P3,M5,1,95.0
0.0,J1,O4,P4,M4,1,55.0
0.0,J1,O5,P5,M3,1,34.0
0.0,J2,O1,P1,M1,1,21.0
0.0,J2,O2,P2,M4,1,52.0
0.0,J2,O3,P3,M5,1,16.0
0.0,J2,O4,P4,M3,1,26.0
0.0,J2,O5,P5,M2,1,71.0
0.0,J3,O1,P1,M4,1,39.0
0.0,J3,O2,P2,M5,1,98.0
0.0,J3,O3,P3,M2,1,42.0
0.0,J3,O4,P4,M3,1,31.0
0.0,J3,O5,P5,M1,1,12.0
0.0,J4,O1,P1,M2,1,77.0
0.0,J4,O2,P2,M1,1,55.0
0.0,J4,O3,P3,M5,1,79.0
0.0,J4,O4,P4,M3,1,66.0
0.0,J4,O5,P5,M4,1,77.0
0.0,J5,O1,P1,M1,1,83.0
0.0,J5,O2,P2,M4,1,34.0
0.0,J5,O3,P3,M3,1,64.0
0.0,J5,O4,P4,M2,1,19.0
0.0,J5,O5,P5,M5,1,37.0
0.0,J6,O1,P1,M2,1,54.0
0.0,J6,O2,P2,M3,1,43.0
0.0,J6,O3,P3,M5,1,79.0
0.0,J6,O4,P4,M1,1,92.0
0.0,J6,O5,P5,M4,1,62.0
0.0,J7,O1,P1,M4,1,69.0
0.0,J7,O2,P2,M5,1,77.0
0.0,J7,O3,P3,M2,1,87.0
0.0,J7,O4,P4,M3,1,87.0
0.0,J7,O5,P5,M1,1,93.0
0.0,J8,O1,P1,M3,1,38.0
0.0,J8,O2,P2,M1,1,60.0
0.0,J8,O3,P3,M2,1,41.0
0.0,J8,O4,P4,M4,1,24.0
0.0,J8,O5,P5,M5,1,83.0
0.0,J9,O1,P1,M4,1,17.0
0.0,J9,O2,P2,M2,1,49.0
0.0,J9,O3,P3,M5,1,25.0
0.0,J9,O4,P4,M1,1,44.0
0.0,J9,O5,P5,M3,1,98.0
0.0,J10,O1,P1,M5,1,77.0
0.0,J10,O2,P2,M4,1,79.0
0.0,J10,O3,P3,M3,1,43.0
0.0,J10,O4,P4,M2,1,75.0
0.0,J10,O5,P5,M1,1,96.0
