arrival_time,job,operation,process,machine,capacity,processing_time
0.0,J1,J1_O1,M1,M1,1,54.0
0.0,J1,J1_O2,M2,M2,1,83.0
0.0,J1,J1_O3,M3,M3,1,15.0
0.0,J1,J1_O4,M4,M4,1,71.0
0.0,J1,J1_O5,M5,M5,1,77.0
0.0,J2,J2_O1,M1,M1,1,36.0
0.0,J2,J2_O2,M2,M2,1,53.0
0.0,J2,J2_O3,M3,M3,1,38.0
0.0,J2,J2_O4,M4,M4,1,27.0
0.0,J2,J2_O5,M5,M5,1,87.0
0.0,J3,J3_O1,M1,M1,1,76.0
0.0,J3,J3_O2,M2,M2,1,91.0
0.0,J3,J3_O3,M3,M3,1,14.0
0.0,J3,J3_O4,M4,M4,1,29.0
0.0,J3,J3_O5,M5,M5,1,12.0
0.0,J4,J4_O1,M1,M1,1,77.0
0.0,J4,J4_O2,M2,M2,1,32.0
0.0,J4,J4_O3,M3,M3,1,87.0
0.0,J4,J4_O4,M4,M4,1,68.0
0.0,J4,J4_O5,M5,M5,1,94.0
0.0,J5,J5_O1,M1,M1,1,79.0
0.0,J5,J5_O2,M2,M2,1,3.0
0.0,J5,J5_O3,M3,M3,1,11.0
0.0,J5,J5_O4,M4,M4,1,99.0
0.0,J5,J5_O5,M5,M5,1,56.0
0.0,J6,J6_O1,M1,M1,1,70.0
0.0,J6,J6_O2,M2,M2,1,99.0
0.0,J6,J6_O3,M3,M3,1,60.0
0.0,J6,J6_O4,M4,M4,1,5.0
0.0,J6,J6_O5,M5,M5,1,56.0
0.0,J7,J7_O1,M1,M1,1,3.0
0.0,J7,J7_O2,M2,M2,1,61.0
0.0,J7,J7_O3,M3,M3,1,73.0
0.0,J7,J7_O4,M4,M4,1,75.0
0.0,J7,J7_O5,M5,M5,1,47.0
0.0,J8,J8_O1,M1,M1,1,14.0
0.0,J8,J8_O2,M2,M2,1,21.0
0.0,J8,J8_O3,M3,M3,1,86.0
0.0,J8,J8_O4,M4,M4,1,5.0
0.0,J8,J8_O5,M5,M5,1,77.0
0.0,J9,J9_O1,M1,M1,1,16.0
0.0,J9,J9_O2,M2,M2,1,89.0
0.0,J9,J9_O3,M3,M3,1,49.0
0.0,J9,J9_O4,M4,M4,1,15.0
0.0,J9,J9_O5,M5,M5,1,89.0
0.0,J10,J10_O1,M1,M1,1,45.0
0.0,J10,J10_O2,M2,M2,1,60.0
0.0,J10,J10_O3,M3,M3,1,23.0
0.0,J10,J10_O4,M4,M4,1,57.0
0.0,J10,J10_O5,M5,M5,1,64.0
0.0,J11,J11_O1,M1,M1,1,7.0
0.0,J11,J11_O2,M2,M2,1,1.0
0.0,J11,J11_O3,M3,M3,1,63.0
0.0,J11,J11_O4,M4,M4,1,41.0
0.0,J11,J11_O5,M5,M5,1,63.0
0.0,J12,J12_O1,M1,M1,1,47.0
0.0,J12,J12_O2,M2,M2,1,26.0
0.0,J12,J12_O3,M3,M3,1,75.0
0.0,J12,J12_O4,M4,M4,1,77.0
0.0,J12,J12_O5,M5,M5,1,40.0
0.0,J13,J13_O1,M1,M1,1,66.0
0.0,J13,J13_O2,M2,M2,1,58.0
0.0,J13,J13_O3,M3,M3,1,31.0
0.0,J13,J13_O4,M4,M4,1,68.0
0.0,J13,J13_O5,M5,M5,1,78.0
0.0,J14,J14_O1,M1,M1,1,91.0
0.0,J14,J14_O2,M2,M2,1,13.0
0.0,J14,J14_O3,M3,M3,1,59.0
0.0,J14,J14_O4,M4,M4,1,49.0
0.0,J14,J14_O5,M5,M5,1,85.0
0.0,J15,J15_O1,M1,M1,1,85.0
0.0,J15,J15_O2,M2,M2,1,9.0
0.0,J15,J15_O3,M3,M3,1,39.0
0.0,J15,J15_O4,M4,M4,1,41.0
0.0,J15,J15_O5,M5,M5,1,56.0
0.0,J16,J16_O1,M1,M1,1,40.0
0.0,J16,J16_O2,M2,M2,1,54.0
0.0,J16,J16_O3,M3,M3,1,77.0
0.0,J16,J16_O4,M4,M4,1,51.0
0.0,J16,J16_O5,M5,M5,1,31.0
0.0,J17,J17_O1,M1,M1,1,58.0
0.0,J17,J17_O2,M2,M2,1,56.0
0.0,J17,J17_O3,M3,M3,1,20.0
0.0,J17,J17_O4,M4,M4,1,85.0
0.0,J17,J17_O5,M5,M5,1,53.0
0.0,J18,J18_O1,M1,M1,1,35.0
0.0,J18,J18_O2,M2,M2,1,53.0
0.0,J18,J18_O3,M3,M3,1,41.0
0.0,J18,J18_O4,M4,M4,1,69.0
0.0,J18,J18_O5,M5,M5,1,13.0
0.0,J19,J19_O1,M1,M1,1,86.0
0.0,J19,J19_O2,M2,M2,1,72.0
0.0,J19,J19_O3,M3,M3,1,8.0
0.0,J19,J19_O4,M4,M4,1,49.0
0.0,J19,J19_O5,M5,M5,1,47.0
0.0,J20,J20_O1,M1,M1,1,87.0
0.0,J20,J20_O2,M2,M2,1,58.0
0.0,J20,J20_O3,M3,M3,1,18.0
0.0,J20,J20_O4,M4,M4,1,68.0
0.0,J20,J20_O5,M5,M5,1,28.0
