,Time,Part,Operation,Process,Machine,Event
0,0.0,J1,,Source,,Job created
1,0.0,J2,,Source,,Job created
2,0.0,J1,Op_J1_S1,M2,,Job transferred
3,0.0,J1,Op_J1_S1,M2,Machine0,job assigned
4,0.0,J3,,Source,,Job created
5,0.0,J2,Op_J2_S1,M1,,Job transferred
6,0.0,J4,,Source,,Job created
7,0.0,J3,Op_J3_S1,M4,,Job transferred
8,0.0,J2,Op_J2_S1,M1,Machine0,job assigned
9,0.0,J5,,Source,,Job created
10,0.0,J4,Op_J4_S1,M2,,Job transferred
11,0.0,J3,Op_J3_S1,M4,Machine0,job assigned
12,0.0,J6,,Source,,Job created
13,0.0,J5,Op_J5_S1,M1,,Job transferred
14,0.0,J7,,Source,,Job created
15,0.0,J6,Op_J6_S1,M2,,Job transferred
16,0.0,J8,,Source,,Job created
17,0.0,J7,Op_J7_S1,M4,,Job transferred
18,0.0,J9,,Source,,Job created
19,0.0,J8,Op_J8_S1,M3,,Job transferred
20,0.0,J10,,Source,,Job created
21,0.0,J9,Op_J9_S1,M4,,Job transferred
22,0.0,J8,Op_J8_S1,M3,Machine0,job assigned
23,0.0,J10,Op_J10_S1,M5,,Job transferred
24,0.0,J10,Op_J10_S1,M5,Machine0,job assigned
25,21.0,J1,Op_J1_S1,M2,Machine0,operation complete
26,21.0,J2,Op_J2_S1,M1,Machine0,operation complete
27,21.0,J1,Op_J1_S2,M1,,Job transferred
28,21.0,J2,Op_J2_S2,M4,,Job transferred
29,21.0,J4,Op_J4_S1,M2,Machine0,job assigned
30,21.0,J5,Op_J5_S1,M1,Machine0,job assigned
31,38.0,J8,Op_J8_S1,M3,Machine0,operation complete
32,38.0,J8,Op_J8_S2,M1,,Job transferred
33,39.0,J3,Op_J3_S1,M4,Machine0,operation complete
34,39.0,J3,Op_J3_S2,M5,,Job transferred
35,39.0,J7,Op_J7_S1,M4,Machine0,job assigned
36,77.0,J10,Op_J10_S1,M5,Machine0,operation complete
37,77.0,J10,Op_J10_S2,M4,,Job transferred
38,77.0,J3,Op_J3_S2,M5,Machine0,job assigned
39,98.0,J4,Op_J4_S1,M2,Machine0,operation complete
40,98.0,J4,Op_J4_S2,M1,,Job transferred
41,98.0,J6,Op_J6_S1,M2,Machine0,job assigned
42,104.0,J5,Op_J5_S1,M1,Machine0,operation complete
43,104.0,J5,Op_J5_S2,M4,,Job transferred
44,104.0,J1,Op_J1_S2,M1,Machine0,job assigned
45,108.0,J7,Op_J7_S1,M4,Machine0,operation complete
46,108.0,J7,Op_J7_S2,M5,,Job transferred
47,108.0,J9,Op_J9_S1,M4,Machine0,job assigned
48,125.0,J9,Op_J9_S1,M4,Machine0,operation complete
49,125.0,J9,Op_J9_S2,M2,,Job transferred
50,125.0,J2,Op_J2_S2,M4,Machine0,job assigned
51,152.0,J6,Op_J6_S1,M2,Machine0,operation complete
52,152.0,J6,Op_J6_S2,M3,Machine0,job assigned
53,152.0,J6,Op_J6_S2,M3,,Job transferred
54,152.0,J9,Op_J9_S2,M2,Machine0,job assigned
55,157.0,J1,Op_J1_S2,M1,Machine0,operation complete
56,157.0,J1,Op_J1_S3,M5,,Job transferred
57,157.0,J8,Op_J8_S2,M1,Machine0,job assigned
58,175.0,J3,Op_J3_S2,M5,Machine0,operation complete
59,175.0,J3,Op_J3_S3,M2,,Job transferred
