Job_ID,Machine_Op1,Time_Op1,Machine_Op2,Time_Op2,Machine_Op3,Time_Op3,Machine_Op4,Time_Op4,Machine_Op5,Time_Op5
1,2,58,3,44,4,5,1,9,5,58
2,2,89,1,97,5,96,4,77,3,84
3,1,77,2,87,3,81,5,39,4,85
4,4,57,2,21,3,31,1,15,5,73
5,3,48,1,40,2,49,4,70,5,71
6,4,34,5,82,3,80,1,10,2,22
7,2,91,5,75,1,55,3,17,4,7
8,3,62,4,47,2,72,5,35,1,11
9,1,64,4,75,5,50,2,90,3,94
10,3,67,5,20,4,15,1,12,2,71
11,1,52,5,93,4,68,3,29,2,57
12,3,70,1,58,2,93,5,7,4,77
13,4,27,3,82,2,63,5,6,1,95
14,2,87,3,56,5,36,1,26,4,48
15,4,76,3,36,1,36,5,15,2,8
